"R17"	"R8"	"R2"	"R6"	"R3"	"R12"	"R15"	"R4"	"R13"	"R20"	"R1"	"R14"	"R19"	"R11"	"R5"	"R10"	"R18"	"R16"	"R9"	"R7"	"R53"	"R46"	"R47"	"R56"	"R59"	"R48"	"R50"	"R43"	"R49"	"R58"	"R42"	"R52"	"R44"	"R41"	"R57"	"R45"	"R51"	"R60"	"R55"	"R54"	"R22"	"R35"	"R34"	"R26"	"R31"	"R28"	"R27"	"R24"	"R21"	"R40"	"R36"	"R38"	"R33"	"R37"	"R29"	"R25"	"R32"	"R30"	"R23"	"R39"	"R73"	"R79"	"R80"	"R64"	"R78"	"R77"	"R68"	"R67"	"R65"	"R66"	"R62"	"R74"	"R61"	"R72"	"R75"	"R69"	"R63"	"R70"	"R71"	"R76"
"APH4"	0	0	12	0	0	0	0	2	7	52	0	0	0	2	2	1	0	3	0	0	0	0	2	2	7	1	0	0	1	0	2	0	2	0	8	0	0	2	2	2	2	0	4	0	0	2	2	0	5	0	15	0	2	27	0	2	5	0	0	0	2	0	0	0	2	2	2	2	0	4	0	0	2	0	0	2	0	1	0	3
"APH6"	15	21	138	17	8	0	41	133	31	698	9	71	0	143	45	4	6	31	6	28	254	3	7	4	73	20	0	40	42	10	242	9	55	61	40	19	13	19	155	37	2	7	23	2	2	0	23	13	716	72	75	5	67	42	0	2	1	4	123	0	27	0	0	36	4	148	1	10	2	12	2	145	141	28	76	28	2	78	26	993
"APH7-DPRIME"	0	0	0	2	2	2	2	0	0	24	0	12	2	6	6	0	2	4	0	2	0	0	2	2	2	0	2	0	0	0	2	0	0	6	0	0	0	0	0	4	2	0	4	0	0	0	2	0	4	0	4	0	0	2	0	2	0	0	0	0	14	0	0	0	2	2	2	0	0	0	0	6	8	8	0	4	0	4	0	4
"APH9"	2	0	4	2	0	0	8	2	12	10	2	8	0	6	0	2	2	14	2	0	12	2	0	2	0	0	4	2	0	0	4	2	6	6	8	0	0	6	4	6	4	0	6	0	2	4	0	2	6	2	4	0	2	10	0	0	0	0	2	0	2	0	0	2	2	6	0	2	2	8	4	0	8	8	0	10	4	0	2	10
"APMA"	0	0	0	0	0	0	4	0	2	2	0	2	0	4	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	2	2	2	0	2	4	0	0	0	2	2	0	2	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	4	0	2	0	0	2	6
"AQU"	6	2	0	4	0	0	0	0	2	4	0	0	0	2	0	0	0	4	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	4	2	0	0	0	0	2	0	2	2	0	0	0	0	0	0	2	2	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	2	0	2	2	0	2	0	0
"ARIR"	0	3	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	5	0	0	0	10	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	27	0	0	0	2	0	0	0	0	0	0	1	0	0	0	19	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
"ARL"	0	0	2	8	0	0	0	0	2	2	4	0	0	0	20	2	2	6	0	2	2	2	0	2	6	0	0	2	2	0	2	0	0	2	8	0	0	4	0	10	2	2	6	2	0	2	4	4	0	0	0	4	0	0	0	0	0	0	0	2	12	0	0	0	0	0	0	2	0	6	2	6	2	4	0	2	2	4	2	6
"ARLR"	4	0	0	10	0	0	2	2	4	2	0	0	2	4	2	0	4	12	4	2	0	0	0	0	0	0	0	0	0	2	4	0	0	2	4	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	12	2	0	4	0	8	0	0	6	2	0	0	0	0	0	10
"ARLS"	0	0	0	2	4	2	2	2	6	22	0	2	0	0	2	4	4	4	4	0	28	0	0	0	6	2	0	2	2	0	2	4	0	6	4	0	0	2	0	0	0	0	4	2	0	0	4	2	4	0	2	0	0	2	0	0	0	0	2	0	4	0	0	0	10	0	0	2	0	4	0	2	6	8	0	2	4	0	2	2
"ARMA"	6	0	0	8	0	0	2	0	2	2	0	0	2	2	4	0	2	2	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	6	4	0	0	4	0	4	0	0	0	0	0	0	2	0	0	0	0	4	2	0	0	0	2	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	8
"ARMR"	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"ARNA"	2	0	0	0	0	0	5	0	6	29	2	32	0	6	8	6	4	8	0	2	0	0	0	0	6	0	0	14	2	4	20	0	10	10	12	2	8	6	2	18	0	6	4	0	0	2	4	5	10	4	4	0	0	6	0	0	0	4	0	0	6	0	0	0	100	2	2	10	0	6	0	2	10	18	2	6	2	4	5	6
"ARR"	0	0	0	0	3	0	4	0	2	8	2	4	0	2	0	0	4	2	0	2	0	0	2	2	10	4	0	0	2	2	8	0	0	8	16	0	0	6	4	3	0	0	8	0	2	0	2	2	7	0	0	2	2	6	0	0	0	0	2	2	2	0	0	0	0	0	0	6	0	2	0	0	4	0	0	6	0	0	2	12
"ARRA"	0	0	2	8	0	0	2	2	4	6	0	4	0	6	0	0	2	2	0	0	2	0	2	0	0	0	0	2	0	0	6	0	0	4	2	0	0	4	2	2	2	0	6	0	0	0	4	2	12	0	0	0	4	2	0	0	0	0	0	2	6	0	0	2	8	0	0	2	0	2	0	0	0	2	0	0	0	0	0	8
"ARRB"	0	0	0	2	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4
"ARSA"	0	4	0	12	0	0	6	4	18	35	6	2	2	10	12	4	8	6	0	2	7	2	0	2	10	15	2	2	4	0	12	4	0	2	14	0	0	6	4	10	4	2	12	4	0	0	4	4	20	0	10	4	2	12	0	0	2	0	0	0	20	0	0	2	6	0	0	2	2	14	2	6	8	14	2	6	4	4	2	32
"ARSB"	4	0	0	3	0	0	0	0	0	20	2	8	0	2	2	0	0	2	0	0	8	1	0	0	11	2	0	2	8	6	0	2	5	8	8	0	0	5	12	3	0	0	2	0	0	0	0	0	11	33	2	1	0	6	0	0	0	0	2	0	36	0	0	0	4	0	0	1	0	4	0	5	3	2	2	5	4	0	4	12
"ARSBM"	3	9	4	7	5	0	10	6	6	62	4	3	0	26	11	4	6	10	1	6	52	4	4	0	7	17	3	10	6	32	29	0	11	14	8	0	2	4	7	17	0	2	8	0	4	6	7	4	41	124	11	3	12	13	1	0	2	0	8	2	32	0	0	7	7	17	0	5	2	4	2	15	26	20	12	12	4	8	4	33
"ARSC"	4	0	0	16	0	0	8	2	8	11	2	2	0	1	6	0	4	4	0	0	0	0	0	0	8	0	0	0	4	0	11	2	0	6	8	2	0	0	2	12	2	0	2	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	14	4	0	0	0	9	0	4	3	4	4	4	0	2	0	10
"ARSCM"	2	7	0	2	0	0	4	2	6	7	0	0	0	0	0	2	0	4	0	0	10	4	0	0	3	5	1	2	2	11	6	2	2	0	4	0	2	2	4	9	2	2	2	0	2	0	0	2	2	51	2	0	5	2	0	0	1	0	4	0	15	0	0	0	4	6	0	4	2	0	0	4	0	0	0	2	2	0	4	0
"ARSD"	2	0	0	2	0	0	0	0	0	0	2	0	0	2	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	2	4	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	2	0
"ARSDM"	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
"ARSH"	0	2	0	4	0	0	2	0	0	6	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	3	4	0	0	0	4	0	3
"ARSHN"	0	4	0	0	0	0	0	0	2	2	2	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	2	4	0	0	0	2	0	0	0	8	0	2	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2
"ARSM"	2	0	0	0	2	0	2	0	4	8	2	16	2	0	8	2	4	2	0	0	0	2	0	0	0	0	0	2	2	0	8	4	8	2	4	0	2	4	8	11	0	0	2	0	0	0	0	0	6	0	0	0	0	4	0	0	0	0	2	0	2	0	0	0	2	2	0	0	0	2	0	2	2	8	0	4	2	0	0	6
"ARSP"	2	2	0	6	0	0	26	2	20	16	0	2	2	8	8	0	4	10	0	0	0	4	0	2	6	0	0	6	4	2	6	0	0	2	0	0	0	6	0	6	2	0	6	0	2	0	2	0	12	0	4	0	0	4	0	0	0	0	4	0	16	0	0	0	2	2	0	0	2	2	0	6	0	6	2	12	4	0	4	4
"ARSR"	1	2	0	0	1	0	4	0	2	2	0	0	0	4	0	0	4	2	0	0	11	2	1	0	2	8	0	0	2	9	6	2	0	4	9	3	0	0	0	0	0	0	2	0	0	2	0	0	2	49	10	0	0	0	1	0	0	0	0	2	21	0	0	0	0	0	0	0	1	0	0	2	0	0	0	7	0	0	2	3
"ARSRM"	2	0	0	3	0	0	6	0	2	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	0	0	0	4	0	1	4	4	0	0	0	0	2	2	0	2	0	0	0	4	0	2	0	0	0	0	4	0	0	0	0	0	0	4	0	0	2	0	2	2	0	0	1	0	0	2	3	0	0	0	0	0	10
"ARST"	2	5	2	3	2	0	3	2	2	48	2	13	0	8	3	0	5	7	0	1	0	1	0	0	6	4	0	6	8	0	33	0	36	7	5	0	5	0	15	9	0	0	2	0	0	0	5	0	12	0	7	1	7	2	0	0	0	1	4	5	4	0	0	3	0	6	2	8	0	3	0	8	3	12	3	3	0	2	8	39
"ASMA"	1	5	2	2	0	2	11	0	8	28	0	8	0	8	8	5	4	14	2	0	45	0	0	2	14	19	2	8	2	47	10	4	2	6	14	0	0	6	8	2	2	0	10	0	0	0	2	0	9	175	8	6	0	11	0	0	5	0	4	0	40	0	0	2	128	0	0	11	2	8	2	0	2	18	0	8	2	0	2	31
"ASR"	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	8	2	0	8	0	2	0	1	1	0	0	0	14	2	0	0	1	2	0	0	0	0	0	0	0	2	0	0	2	0	0	1	36	0	0	0	2	0	0	0	0	0	0	3	0	0	0	34	0	0	2	3	0	0	0	0	2	0	6	0	0	0	2
"AST"	2	0	2	4	4	0	0	0	4	8	2	16	0	8	6	0	2	6	0	2	2	0	0	0	0	2	0	2	0	0	8	0	6	0	0	0	2	0	2	4	0	2	0	0	0	0	0	2	4	0	0	2	6	10	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	2	2	12	0	0	0	2	0	26
"AXC"	2	0	0	4	0	0	0	2	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	2	2	0	0	0	0	2	0	0	0	0	0	2	0	2	6	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	2	0	2	0	0	0	6
"AXY"	16	6	3	8	5	4	11	10	32	136	6	83	0	29	28	0	12	31	0	12	8	4	2	6	9	8	2	8	4	8	59	2	35	20	18	2	3	10	1	44	8	6	22	4	0	2	9	6	25	7	17	3	11	49	0	10	6	0	16	2	26	0	0	0	11	10	4	14	6	12	0	12	17	28	6	24	2	3	4	53
"AXYZ|RequiresSNPConfirmation"	0	0	0	2	0	0	4	0	0	4	0	8	0	0	4	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	6	2	6	0	0	0	0	0	2	2	4	2	6	0	0	0	4	0	2	0	0	0	0	6	0	2	0	0	0	0	2	0	0	2	4	2	0	0	0	2	0	0	0	4	0	4	0	0	0	0
"BACA"	1	7	0	0	0	0	3	2	0	1	0	2	0	1	2	0	2	2	0	0	34	0	0	0	10	5	0	0	0	24	0	0	0	0	2	2	0	4	8	0	0	0	0	0	0	0	0	0	3	93	1	0	0	3	0	0	0	0	0	0	3	0	0	0	116	0	0	2	1	0	0	0	0	6	0	8	0	0	0	2
"BAER"	2	6	4	0	0	0	2	0	13	26	3	0	1	13	8	2	2	18	0	0	16	0	2	0	9	7	0	6	0	20	12	8	2	20	18	3	0	7	6	11	0	0	7	0	0	0	6	0	18	45	8	2	2	19	0	0	2	0	4	0	42	0	0	0	99	0	3	13	1	8	0	7	8	10	4	16	1	5	4	13
"BAES"	10	16	2	2	0	2	5	2	6	26	0	6	2	12	6	4	8	12	4	0	51	0	4	0	14	20	0	0	7	33	15	0	10	8	4	2	2	6	0	8	2	0	2	0	0	0	2	0	0	100	4	4	0	17	2	0	0	0	2	2	16	0	0	0	227	2	0	4	2	2	2	5	6	10	4	4	2	3	0	8
"BAHA"	0	0	0	5	2	0	4	0	4	6	0	0	0	4	6	0	8	10	0	2	0	2	0	0	2	0	0	0	0	2	2	2	0	2	8	0	0	8	0	8	0	0	2	0	0	0	2	0	2	0	2	0	0	2	0	0	4	0	0	2	2	0	0	2	0	2	0	2	0	2	0	2	0	6	2	6	6	0	0	6
"BASRS"	8	2	0	4	6	2	2	2	10	12	2	14	0	2	10	4	12	16	0	0	14	0	0	0	0	8	0	2	2	4	15	2	10	14	16	0	0	10	0	14	2	2	10	0	0	6	2	4	4	4	0	2	4	0	0	0	4	0	4	2	2	0	0	0	92	2	6	2	4	2	0	4	6	16	2	10	0	2	0	12
"BASRS|RequiresSNPConfirmation"	2	2	2	6	0	0	6	0	10	12	2	22	0	1	16	2	6	10	0	0	2	0	0	0	3	1	0	0	0	0	8	0	2	12	2	0	0	0	3	14	0	0	6	2	0	0	6	0	6	2	1	4	4	16	0	0	4	0	3	0	8	0	0	0	46	2	0	12	2	0	0	4	2	11	2	8	2	2	4	10
"BAT"	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	2	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	2	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	2	0	4	0	2	0	0
"BBI"	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"BC"	0	2	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	4	4	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0
"BCII"	4	0	0	8	0	0	8	0	6	6	0	0	0	2	2	0	0	10	0	2	4	0	0	0	4	2	0	4	4	2	6	6	2	0	2	0	0	2	0	2	0	0	2	0	2	0	2	0	0	0	4	0	0	2	0	0	0	0	0	2	14	0	0	0	0	6	0	0	0	12	0	4	4	10	0	4	0	0	2	8
"BCL"	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	4	6	0	4	6	0	0	2	0	0	0	0	0	2	2	0	2	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	8	0	2	0	2	0	0
"BCR"	4	2	4	6	1	0	0	2	0	12	2	4	0	0	8	3	4	2	0	2	46	2	0	0	6	12	0	2	0	52	0	2	0	4	4	2	2	0	0	8	0	2	6	0	0	4	0	0	12	91	12	4	2	6	0	0	0	2	4	0	16	0	0	0	110	0	0	9	4	0	2	2	2	2	4	6	0	0	4	1
"BCR1"	4	0	4	4	4	0	4	0	0	10	0	20	2	0	4	4	6	10	0	2	0	0	0	0	10	0	0	0	2	0	8	4	6	8	4	0	0	0	2	10	0	0	8	0	0	0	0	2	10	0	6	0	2	6	0	0	0	0	2	2	16	0	0	2	82	0	2	2	0	0	4	6	2	18	0	6	0	0	0	4
"BCRA"	0	0	0	2	0	0	10	0	8	8	2	0	0	6	8	0	0	2	0	2	0	0	0	2	0	0	2	2	0	0	4	0	0	2	4	0	0	6	0	2	2	2	2	0	0	0	0	2	0	0	2	0	0	4	0	0	0	2	0	0	2	0	0	0	4	0	2	2	0	0	0	4	2	10	0	4	2	0	2	4
"BCRB"	0	0	0	2	0	0	2	0	0	4	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	2	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	2	4
"BCRC"	0	0	0	2	0	0	0	0	4	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	8	0	0	0	0	0	0	2	0	0	0	2	0	4	0	0	0	0	0	0
"BCRCM"	2	0	0	2	0	0	2	0	2	0	0	0	2	0	0	0	2	4	0	0	8	0	0	0	2	0	0	0	0	0	2	2	0	2	4	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	2	0	0	0	2
"BEL"	0	0	0	0	0	0	0	0	4	0	0	0	2	0	2	0	2	6	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
"BEPC"	0	2	0	0	0	0	2	0	0	4	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	2	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	2	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	4	0	2	0	2	0	2	2	0	0	6
"BEPD"	6	0	0	0	0	0	2	0	4	12	0	2	0	0	8	0	2	2	0	0	0	0	0	0	6	0	0	0	0	0	10	0	2	8	6	2	0	4	2	2	2	0	4	4	0	2	2	0	4	0	4	0	0	4	0	0	2	2	2	2	6	0	0	0	0	0	0	0	2	0	0	2	4	4	0	6	0	0	0	10
"BEPE"	12	4	2	6	6	0	23	6	6	30	4	27	0	6	24	5	14	12	0	1	4	0	0	2	11	2	0	7	0	3	18	9	11	16	6	0	2	6	4	15	4	4	12	2	2	4	7	4	19	0	4	0	8	25	0	0	6	0	3	0	33	0	0	0	0	0	2	8	6	10	4	4	4	12	0	12	6	0	7	15
"BEPF"	2	0	0	0	2	0	10	0	4	8	0	6	0	2	6	4	2	4	0	2	0	0	0	2	6	0	0	2	2	2	4	2	2	2	2	0	0	0	0	4	0	0	0	4	0	0	0	2	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	4	6	0	0	6	2	0	2	0	8	0	2	0	0	0	2
"BEPG"	0	8	2	6	2	0	2	2	2	20	4	12	0	16	20	4	4	12	0	6	6	2	0	0	8	0	0	2	0	2	9	0	6	2	4	0	1	5	0	10	6	4	4	0	0	0	2	0	12	2	6	0	2	6	0	0	6	0	2	2	22	0	0	2	0	2	0	0	0	4	0	12	2	8	2	10	2	2	4	18
"BES"	0	0	0	0	0	0	2	0	2	0	0	4	0	4	4	6	0	4	0	0	0	0	0	0	6	0	0	0	0	2	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	2	2
"BEXA"	7	1	4	2	0	0	5	0	5	2	0	0	0	2	17	15	4	7	1	0	89	0	2	0	46	1	0	3	2	5	15	4	1	2	4	2	1	0	2	3	0	0	0	0	0	0	7	2	8	3	3	2	6	32	0	2	6	0	0	6	41	0	0	0	0	0	0	2	0	5	0	5	10	4	0	5	0	2	0	4
"BFRA"	0	4	0	0	0	0	2	0	0	6	0	0	0	0	4	0	0	2	2	0	0	0	0	0	2	0	0	2	0	0	0	0	2	2	0	0	0	2	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
"BHSA"	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	1	0	0	0	2	1	0	0	2	2	0	0	0	0	0	0	2	3	0	1	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	1	0	0	0	25	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1
"BIC"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2
"BJP1"	2	0	0	2	0	0	0	2	4	22	4	6	0	6	0	2	8	14	2	0	2	2	0	0	4	0	0	4	4	0	10	0	10	10	6	4	0	2	4	8	2	0	2	2	0	2	0	4	14	0	6	0	2	8	0	0	0	0	2	6	6	0	0	8	0	0	2	0	2	12	2	8	4	8	0	18	2	0	2	10
"BKC"	0	0	2	2	2	0	0	2	10	5	0	4	0	2	0	0	4	2	0	0	0	0	0	0	2	0	0	0	0	2	8	0	4	4	0	0	0	4	0	6	0	4	8	0	0	0	0	2	0	2	2	0	4	2	0	2	0	0	3	0	0	0	0	0	0	6	0	0	0	6	2	2	0	4	0	6	0	2	2	6
"BLA1"	2	0	0	2	0	0	0	0	4	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	2	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	0	0	0	0	0	0
"BLA2"	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4	2	0	0	0
"BLAA"	14	2	2	10	0	0	16	2	14	34	12	6	0	8	8	2	6	20	6	6	0	2	4	0	8	0	4	14	6	0	18	10	8	6	14	2	2	10	6	12	0	4	22	2	0	2	0	0	14	2	10	2	4	10	0	0	6	2	2	6	32	0	0	4	6	12	2	2	4	16	2	10	6	14	2	16	6	4	7	22
"BLAB"	4	0	2	16	2	0	4	4	4	24	8	0	2	14	6	0	2	16	4	0	0	0	4	0	4	2	2	10	2	4	4	2	2	14	14	0	2	4	12	26	2	0	8	2	4	2	4	2	14	0	0	4	2	0	0	0	2	2	4	4	16	0	0	0	2	4	4	2	2	12	6	14	10	14	0	8	6	2	8	30
"BLAC"	2	2	4	2	0	0	4	0	6	22	0	4	0	0	4	0	2	4	0	0	0	2	0	0	12	4	2	4	0	4	2	0	4	2	6	4	0	0	0	6	2	0	2	0	0	2	2	0	8	0	2	0	2	6	0	0	2	2	6	0	6	0	0	0	2	0	0	4	4	0	0	4	2	4	2	0	2	0	0	8
"BLACRP"	2	0	2	8	0	0	0	0	2	12	0	4	0	10	6	4	0	0	0	0	0	0	0	0	4	0	0	0	6	0	2	2	0	2	4	0	0	2	2	0	0	0	2	0	0	0	0	0	0	4	0	4	0	8	0	0	2	0	2	6	6	0	0	0	0	0	0	0	0	4	0	0	2	2	0	4	0	0	2	6
"BLAE"	0	0	0	0	0	0	6	0	0	6	0	0	0	2	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	2	2	0	2	0	0	0	0	6	0	2	0	0	0	0	2	0	4	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	4
"BLAEAM"	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	4	2	0	0	0	0	0	2	2	0	2	0	0	2	0	0	0	0	0	0	0	2	2	2	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	2	2	0	0	4	0	0	0	2
"BLAEC"	4	8	0	6	0	0	2	0	12	8	1	0	0	1	0	7	0	6	0	0	41	2	0	0	7	18	0	0	0	30	0	0	0	3	6	0	0	4	2	4	0	0	0	0	2	0	0	2	14	133	2	0	4	7	0	2	0	2	0	0	9	0	0	0	4	4	0	2	1	2	0	6	2	4	0	0	4	0	0	2
"BLAECM"	0	0	0	2	0	0	4	0	2	10	2	4	2	6	0	0	0	4	2	4	2	0	0	0	0	0	0	0	0	0	2	2	2	0	2	0	4	0	0	2	0	0	2	0	0	0	8	0	2	0	0	2	0	2	0	2	2	0	2	0	2	0	0	0	2	0	2	0	0	2	0	0	2	2	0	2	0	0	2	4
"BLAF"	4	0	0	0	0	0	0	0	4	0	2	6	2	4	2	0	0	6	0	2	4	0	0	0	0	0	0	0	2	2	0	0	2	0	2	0	0	0	0	10	0	0	2	0	0	2	2	2	0	0	0	0	4	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	4	2	0	10	4	0	2	0	0	8
"BLAI"	2	0	4	0	0	0	2	0	4	2	0	0	0	0	6	0	0	4	0	0	0	0	0	0	0	2	0	2	0	2	4	0	4	0	2	0	0	0	4	4	0	0	2	0	0	0	2	0	4	0	0	2	0	2	0	0	4	0	0	0	10	0	0	0	7	0	0	6	0	4	0	4	2	6	0	4	0	2	2	10
"BLAL"	2	2	4	0	2	0	6	2	4	16	2	18	0	8	20	0	2	8	0	0	4	4	4	0	10	2	0	0	0	2	10	2	6	10	6	0	0	0	4	2	2	4	0	4	0	0	6	0	0	0	2	0	4	10	0	0	4	0	0	0	32	0	0	0	2	4	0	6	0	2	0	2	0	12	0	10	2	2	0	4
"BLAP"	2	0	0	2	0	4	2	0	14	6	4	0	0	0	0	0	0	6	2	0	0	0	2	0	4	2	0	0	0	0	4	0	0	2	6	0	0	0	4	4	2	2	0	0	0	0	2	2	0	0	0	0	0	2	0	0	4	0	4	2	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	4	0	4	6
"BLAPAM"	4	2	2	2	2	0	0	1	2	14	2	10	0	2	2	0	2	4	2	0	0	0	0	0	7	2	0	0	2	2	8	2	2	2	4	2	4	2	3	8	0	0	8	0	0	2	4	0	1	2	0	0	8	10	0	0	0	0	2	2	2	0	0	0	2	0	0	4	2	6	0	6	0	6	0	6	4	2	4	9
